week,day_of_week,hour,n
2019-11-03T00:00:00Z,1,02,29
2019-11-10T00:00:00Z,1,02,23
2019-11-17T00:00:00Z,1,02,25
2019-11-24T00:00:00Z,1,02,19
2019-12-01T00:00:00Z,1,02,31
2019-12-08T00:00:00Z,1,02,19
2019-12-15T00:00:00Z,1,02,19
2019-12-22T00:00:00Z,1,02,40
2019-12-29T00:00:00Z,1,02,16
2020-01-05T00:00:00Z,1,02,19
2020-01-12T00:00:00Z,1,02,27
2020-01-19T00:00:00Z,1,02,17
2020-01-26T00:00:00Z,1,02,33
2020-02-02T00:00:00Z,1,02,28
2020-02-09T00:00:00Z,1,02,27
2020-02-16T00:00:00Z,1,02,34
2020-02-23T00:00:00Z,1,02,21
2020-03-01T00:00:00Z,1,02,24
2020-03-08T00:00:00Z,1,02,24
2020-03-15T00:00:00Z,1,02,23
2020-03-22T00:00:00Z,1,02,14
2020-03-29T00:00:00Z,1,02,9
2020-04-05T00:00:00Z,1,02,8
2020-04-12T00:00:00Z,1,02,10
2020-04-19T00:00:00Z,1,02,19
2020-04-26T00:00:00Z,1,02,20
2020-05-03T00:00:00Z,1,02,18
2020-05-10T00:00:00Z,1,02,20
2020-05-17T00:00:00Z,1,02,25
2020-05-24T00:00:00Z,1,02,29
2020-05-31T00:00:00Z,1,02,23
2020-06-07T00:00:00Z,1,02,23
2020-06-14T00:00:00Z,1,02,25
2020-06-21T00:00:00Z,1,02,21
2020-06-28T00:00:00Z,1,02,22
2020-07-05T00:00:00Z,1,02,36
2020-07-12T00:00:00Z,1,02,24
2020-07-19T00:00:00Z,1,02,26
2020-07-26T00:00:00Z,1,02,30
2020-08-02T00:00:00Z,1,02,30
2020-08-09T00:00:00Z,1,02,25
2020-08-16T00:00:00Z,1,02,24
2020-08-23T00:00:00Z,1,02,26
2020-08-30T00:00:00Z,1,02,31
2020-09-06T00:00:00Z,1,02,23
2020-09-13T00:00:00Z,1,02,24
2020-09-20T00:00:00Z,1,02,30
2020-09-27T00:00:00Z,1,02,20
2020-10-04T00:00:00Z,1,02,23
2020-10-11T00:00:00Z,1,02,26
2020-10-18T00:00:00Z,1,02,30
2020-10-25T00:00:00Z,1,02,22
2020-11-01T00:00:00Z,1,02,26
2020-11-08T00:00:00Z,1,02,28
2020-11-15T00:00:00Z,1,02,17
2020-11-22T00:00:00Z,1,02,26
2020-11-29T00:00:00Z,1,02,15
2020-12-06T00:00:00Z,1,02,26
2020-12-13T00:00:00Z,1,02,12
2020-12-20T00:00:00Z,1,02,23
2020-12-27T00:00:00Z,1,02,7
2021-01-03T00:00:00Z,1,02,6
2021-01-10T00:00:00Z,1,02,17
2021-01-17T00:00:00Z,1,02,15
2021-01-24T00:00:00Z,1,02,21
2021-01-31T00:00:00Z,1,02,15
2021-02-07T00:00:00Z,1,02,32
2021-02-14T00:00:00Z,1,02,25
2021-02-21T00:00:00Z,1,02,25
2021-02-28T00:00:00Z,1,02,24
2021-03-07T00:00:00Z,1,02,18
2021-03-14T00:00:00Z,1,02,11
2021-03-21T00:00:00Z,1,02,25
2021-03-28T00:00:00Z,1,02,21
2021-04-04T00:00:00Z,1,02,30
2021-04-11T00:00:00Z,1,02,23
2021-04-18T00:00:00Z,1,02,24
2021-04-25T00:00:00Z,1,02,29
2021-05-02T00:00:00Z,1,02,49
2021-05-09T00:00:00Z,1,02,25
2021-05-16T00:00:00Z,1,02,28
2021-05-23T00:00:00Z,1,02,25
2021-05-30T00:00:00Z,1,02,24
2021-06-06T00:00:00Z,1,02,37
2021-06-13T00:00:00Z,1,02,44
2021-06-20T00:00:00Z,1,02,32
2021-06-27T00:00:00Z,1,02,23
2021-07-04T00:00:00Z,1,02,43
2021-07-11T00:00:00Z,1,02,32
2021-07-18T00:00:00Z,1,02,26
2021-07-25T00:00:00Z,1,02,33
2021-08-01T00:00:00Z,1,02,33
2021-08-08T00:00:00Z,1,02,32
2021-08-15T00:00:00Z,1,02,40
2021-08-22T00:00:00Z,1,02,34
2021-08-29T00:00:00Z,1,02,36
